ut	up	gi	mi	sg	dc
29.53	51.21839905	27.09999979	557.0000076	40.26815033	1
30.79	70.95700073	41.20000005	255.2999954	35.3452301	0
19.06	53.19860077	31.40000105	558.6553154	52.32320023	0
71.23	92.1556015	37.20000088	752	49.01903152	1
75.91	88.87319946	13.60000074	1672.829086	79.72337341	1
60.20	67.26999664	13.09999973	1546.883194	90.23594666	1
10.59	27.44239998	55.00000119	45.99999905	20.96579933	0
50.04	64.08959961	34.29999948	394.0000019	45.55414963	0
67.46	97.42320251	11.40000001	1361.211166	89.58627319	1
38.65	65.95700073	47.6000011	338.9999924	32.23096085	1
35.93	60.24560165	50.70000291	108.500001	36.92261887	1
53.02	72.05500031	24.50000048	1102.481155	60.0021286	1
14.82	31.54339981	49.20000136	19.19999999	15.19431019	0
2.80	10.38860035	47.79999852	15.99999976	20.39679909	0
11.03	19.68600082	50	130.2999997	22.70815086	0
9.27	50.9178009	63.89999986	77.39999914	26.19421005	0
2.45	38.69260025	66.90000296	24.99999952	18.59321976	0
15.46	15.05819988	41.89999998	209.7408638	40.56200027	0
2.06	21.71660042	73.50000143	16	20.16152954	0
59.18	88.67819977	37.40000129	717.9999924	51.95309067	1
37.09	74.73220062	48.19999933	563	43.44519043	0
6.47	62.77600098	62.8000021	188	26.40492058	0
42.98	63.68999863	36.10000014	824.3000183	59.93756104	1
49.17	57.31079865	17.00000018	947.3958511	71.00766754	1
114.98	75.29199982	33.70000124	500.2999992	37.68960953	0
60.65	73.51080322	13.60000074	1342.385269	83.63388062	1
10.62	43.60699844	63.40000033	34.4000001	26.74641037	1
74.40	86.60720062	5.999999866	1762.679733	86.55465698	1
39.84	66.21179962	46.90000117	609.0000038	43.9727211	0
22.99	63.75360107	48.69999886	844.0999966	51.33507919	1
62.70	69.45379639	19.40000057	1379.734558	73.64852142	1
91.59	83.42739868	7.500000298	1920.313339	81.17288208	1
54.53	84.49420166	10.59999987	1509.633621	85.73632813	1
4.12	55.94900131	61.00000143	81.30000114	40.92459869	0
8.80	50.51079941	59.799999	166.4000006	35.12255096	1
89.38	61.03839874	16.20000005	1044.647316	80.59269714	1
17.83	48.89680099	54.19999957	252.0000019	45.72954941	0
20.62	50.99140167	51.09999776	243.0000019	47.16427994	0
61.68	68.44499969	23.70000035	1102.022865	80.92651367	1
22.35	49.12659836	50.49999952	229.2000008	29.76575089	1
36.61	68.66200256	48.50000143	295.6999969	30.64216995	0
60.96	61.61380005	20.29999942	1219.733856	91.25283051	1
62.48	91.76200104	14.49999958	1220.257004	71.9908905	1
65.98	68.09359741	12.3999998	1078.753929	74.88996887	1
8.28	49.81280136	65.49999714	107	35.93907928	0
25.23	51.99900055	44.99999881	490.170826	46.11610031	1
59.02	89.62840271	12.30000034	2058.846893	64.62316132	1
41.84	82.21379852	45.60000002	374.8611832	63.90600967	0
4.03	23.19179916	62.69999743	130.3999996	28.4029808	0
103.87	82.61540222	11.10000014	1534.790329	45.60834122	1
48.81	35.30120087	37.00000048	226.4503098	41.65982056	0
16.45	31.97400093	51.30000114	68	20.70041084	0
53.31	87.02279663	43.99999976	760.3999939	64.70039368	0
3.52	26.13279915	53.20000052	70.20000029	32.93365097	1
66.10	67.77279663	21.60000056	1409.340424	68.74775696	1
77.37	66.92780304	19.20000017	1149.893677	65.57144928	1
0.72	15.44519997	59.39999819	15.70000052	25.53508949	0
40.24	71.11979675	28.60000134	883.0000153	73.09689331	0
5.61	33.64039993	71.20000124	30.99999952	23.51936913	1
3.84	41.05459976	60.50000191	113.7999997	27.94845963	0
28.95	41.85919952	35.29999852	529.0265808	62.94213867	1
27.04	77.52159882	44.80000138	621.4000015	50.93653107	1
50.85	66.55239868	40.99999964	216.0000038	29.19261932	1
38.29	46.1814003	29.80000079	634.8729439	59.37475967	0
13.22	56.33480072	50.99999905	598.9999924	51.02056885	0
3.82	30.76619911	60.19999981	34.80000067	30.06248093	0
23.68	72.93180084	30.89999855	1139	58.45344162	0
7.26	16.34760094	55.80000281	36.70000029	23.0687294	0
62.70	82.23200226	5.200000107	1746.865906	87.90601349	1
82.73	86.16560364	19.49999928	1522.260956	72.79756927	1
1.42	17.43919945	72.39999771	34.5999999	16.52210999	0
73.79	78.77960205	7.500000298	2088.806107	82.77478027	1
6.64	35.60179901	57.30000138	186	36.40391922	0
44.65	73.83699799	49.20000136	639.8000183	59.37414932	1
36.64	60.79219818	47.6000011	332.9999962	43.16720963	1
42.99	76.53559875	41.49999917	541.9999962	40.78416061	1
28.23	48.52500153	42.69999862	277	38.03739929	0
70.54	61.04719925	16.40000045	1117.208954	76.72000122	1
62.20	59.9197998	14.00000006	1083.079903	84.49606323	1
63.77	52.7859993	33.30000043	899.9681168	68.37821198	1
75.89	73.50759888	33.79999995	817.3584175	66.89189911	0
4.82	18.55579948	45.30000091	76.99999809	28.02911949	0
31.30	81.86299896	64.60000277	699	69.26304626	0
8.34	42.0257988	56.59999847	191	38.40861893	1
54.16	54.97980118	19.40000057	1291.311905	81.87033844	1
19.75	29.77059937	30.50000072	319.2041359	25.88077927	0
86.93	50.06100082	17.4999997	1190.095978	73.43128204	1
6.19	37.67599869	58.30000043	162.5999966	33.28213882	0
73.24	77.16739655	11.69999987	1226.323563	81.66573334	1
70.78	84.90859985	4.899999872	1887.232605	82.26757813	1
